# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
gong heng 	公衡	c=1 d=1 t=81871
gong ji 	攻击	c=3 d=1.18523e-14 t=82043
gong ji xing 	攻击性	c=1 d=1.30272e-23 t=82043
gong jiang 	工匠	c=0 d=7.01867e-43 t=82043
gong jiao 	公交	c=3 d=7.22081e-36 t=82043
gong ju 	工具	c=25 d=0.178175 t=82043
gong kai 	公开	c=1 d=4.67413e-24 t=82043
gong ke 	工可	c=21 d=1.03383 t=82043
gong ke 	攻克	c=2 d=1.04273e-51 t=82043
gong kuang 	工况	c=12 d=3.25659e-08 t=82043
gong le 	拱肋	c=4 d=0.0178618 t=82043
gong li 	公里	c=8 d=0.000118571 t=82043
gong lu 	公路	c=179 d=1.15844 t=82043
gong lu yuan 	公路院	c=1 d=1.23494e-12 t=82043
gong lu yue 	公路月	c=1 d=2.9294e-27 t=82043
gong lv 	功率	c=1 d=8.67233e-31 t=82043
gong lve 	攻略	c=1 d=6.80776e-36 t=82043
gong mu 	公募	c=0 d=0.1 t=50907
gong neng 	功能	c=27 d=0.00421123 t=82043
gong neng xing 	功能性	c=1 d=1 t=71535
gong qi 	工期	c=3 d=6.1484e-14 t=82043
gong qiao 	拱桥	c=11 d=0.00860854 t=82043
gong shi 	公式	c=6 d=5.21892e-34 t=82043
gong shui 	供水	c=1 d=1 t=71503
gong si 	公司	c=29 d=0.618491 t=82043
gong tong 	共同	c=3 d=5.80632e-17 t=82043
gong wang 	公网	c=1 d=3.11913e-30 t=82043
gong wei 	恭维	c=1 d=3.94944e-42 t=82043
gong xi 	恭喜	c=3 d=5.61539e-07 t=82043
gong xi na ge 	恭喜那个	c=1 d=1 t=79626
gong xian 	贡献	c=1 d=1 t=46765
gong xiang 	共享	c=8 d=0.653776 t=82043
gong xiao 	功效	c=1 d=3.12294e-15 t=82043
gong xu 	工序	c=1 d=2.67909e-35 t=82043
gong ye 	工业	c=7 d=0.20089 t=82043
gong ye hua 	工业化	c=1 d=1 t=78429
gong yi 	工艺	c=10 d=5.67375e-10 t=82043
gong ying 	供应	c=2 d=3.03065e-15 t=82043
gong yu 	公寓	c=1 d=2.09736e-08 t=82043
gong yuan 	公园	c=5 d=1.5925e-33 t=82043
gong zhang 	公章	c=1 d=3.96249e-22 t=82043
gong zhen 	共振	c=1 d=9.21517e-10 t=82043
gong zhong 	公众	c=2 d=2.64469e-30 t=82043
gong zhou xian 	拱轴线	c=1 d=1 t=81166
gong zhu 	公主	c=1 d=8.98277e-33 t=82043
gong zi 	工资	c=1 d=1 t=79955
gong zuo 	工作	c=118 d=0.0251941 t=82043
gong zuo liang 	工作量	c=1 d=1 t=80222
gou 	勾	c=12 d=2.84365e-08 t=82043
gou 	够	c=6 d=4.72769e-11 t=82043
gou 	构	c=2 d=1.43973e-23 t=82043
gou 	沟	c=7 d=1.22836e-08 t=82043
gou 	狗	c=9 d=1.23557e-19 t=82043
gou 	苟	c=1 d=1.87207e-24 t=82043
gou ao 	勾熬	c=1 d=1 t=53406
gou bu gou 	够不够	c=1 d=1 t=81079
gou cheng 	构成	c=2 d=8.57728e-19 t=82043
gou gou 	勾勾	c=1 d=1 t=76698
gou jian 	构件	c=55 d=0.327463 t=82043
gou jian 	构建	c=2 d=1.28512e-13 t=82043
gou jian de 	构件的	c=1 d=1.77617e-23 t=82043
gou le 	勾勒	c=1 d=1 t=70275
gou le 	够了	c=1 d=2.0686e-22 t=82043
gou li guo jia sheng si yi 	苟利国家生死以	c=1 d=6.05686e-14 t=82043
gou mai 	购买	c=14 d=0.021068 t=82043
gou mai dian 	购买点	c=1 d=3.88878e-07 t=82043
gou mai le 	购买了	c=1 d=1.43875e-15 t=82043
gou qu 	沟渠	c=3 d=1.55227e-06 t=82043
gou tong 	沟通	c=11 d=0.00127913 t=82043
gou wu 	购物	c=2 d=3.55154e-28 t=82043
gou xuan 	勾选	c=2 d=4.99539e-11 t=82043
gou yin 	勾引	c=0 d=0.0168638 t=82043
gou yin jian 	勾引减	c=1 d=0.169483 t=82043
gou yong 	够用	c=1 d=7.17777e-41 t=82043
gou zao 	构造	c=147 d=3.92533 t=82043
gou zao tu 	构造图	c=4 d=0.00425643 t=82043
gou zhao 	钩爪	c=3 d=0.410656 t=82043
gou zhu 	构筑	c=1 d=1 t=55367
gou zhu wu 	构筑物	c=1 d=1 t=70156
gou zou 	勾走	c=1 d=5.84854e-14 t=82043
gu 	估	c=2 d=0.0335406 t=82043
gu 	古	c=3 d=1.78999e-26 t=82043
gu 	故	c=15 d=0.167395 t=82043
gu 	箍	c=1 d=8.57117e-40 t=82043
gu 	股	c=1 d=1.84037e-29 t=82043
gu 	顾	c=20 d=0.540641 t=82043
gu 	鼓	c=3 d=7.03684e-43 t=82043
gu bao gui 	顾保贵	c=1 d=0.802519 t=82043
gu ding 	固定	c=8 d=2.14564e-11 t=82043
gu dong 	鼓动	c=1 d=1 t=55498
gu fen 	股份	c=2 d=1.94649 t=59906
gu ge 	谷歌	c=10 d=1.03982e-10 t=82043
gu ji 	估计	c=13 d=0.794534 t=82043
gu ji 	顾及	c=5 d=2.5898e-32 t=82043
gu jia 	股价	c=1 d=3.23639e-23 t=82043
gu jia 	骨架	c=18 d=0.00673515 t=82043
gu jian 	固件	c=1 d=2.44426e-44 t=82043
gu jie 	固结	c=11 d=0.395877 t=82043
gu jie dun 	固结墩	c=1 d=1.14821e-67 t=82043
gu jin 	箍筋	c=25 d=0.000508015 t=82043
gu jing 	古井	c=6 d=1.32421e-39 t=82043
gu lang 	鼓浪	c=1 d=0.100761 t=82043
gu le 	估了	c=1 d=1.10296e-94 t=82043
gu liao 	骨料	c=4 d=9.64589e-18 t=82043
gu lou 	古楼	c=1 d=1.34446e-41 t=82043
gu lou 	鼓楼	c=1 d=1.28168e-96 t=82043
gu ma 	姑妈	c=4 d=7.30037e-06 t=82043
gu piao 	股票	c=0 d=0.00987662 t=82043
gu piao na ge 	股票那个	c=1 d=0.0992613 t=82043
gu suan 	估算	c=3 d=1.5623e-43 t=82043
gu tai 	固态	c=11 d=0.173774 t=82043
gu yi 	故意	c=1 d=2.90331e-10 t=82043
gu zhang 	故障	c=1 d=2.27321e-14 t=82043
gua 	刮	c=1 d=1.84163e-37 t=82043
gua 	挂	c=4 d=0.000500451 t=82043
gua ban 	挂板	c=2 d=1.9802 t=75098
gua gou 	挂钩	c=2 d=8.81607e-10 t=82043
gua jian 	挂件	c=2 d=1.21187e-39 t=82043
gua li 	挂历	c=1 d=6.15573e-28 t=82043
gua qi 	挂起	c=2 d=1 t=70749
gua xi 	挂锡	c=1 d=1.06861e-16 t=82043
gua zai 	挂载	c=3 d=0.0550232 t=82043
gua zi 	瓜子	c=1 d=4.87234e-42 t=82043
guai 	乖	c=1 d=7.86896e-05 t=82043
guai 	拐	c=1 d=2.80384e-41 t=82043
guai bu de 	怪不得	c=2 d=1.68403e-14 t=82043
guan 	关	c=8 d=2.28382e-10 t=82043
guan 	官	c=2 d=1.21395e-75 t=82043
guan 	灌	c=2 d=4.21253e-36 t=82043
guan 	管	c=39 d=0.937077 t=82043
guan 	观	c=1 d=1 t=79313
guan bi 	关闭	c=9 d=9.75642e-05 t=82043
guan ce 	观测	c=3 d=1.98801e-45 t=82043
guan cha 	观察	c=1 d=6.86215e-12 t=82043
guan dao 	管道	c=48 d=0.891366 t=82043
guan dian 	观点	c=1 d=3.31144e-28 t=82043
guan diao 	关掉	c=2 d=6.57382e-07 t=82043
guan fang 	官方	c=4 d=6.29378e-07 t=82043
guan fang dian 	官方店	c=1 d=1 t=48430
guan gai 	灌溉	c=4 d=4.05865e-10 t=82043
guan han 	管涵	c=2 d=1.09827 t=79094
guan ji 	关机	c=5 d=3.80582e-18 t=82043
guan jian 	关键	c=9 d=4.26602e-08 t=82043
guan jian ci 	关键词	c=1 d=4.50094e-21 t=82043
guan jian zi 	关键字	c=1 d=1 t=54194
guan jiang 	灌浆	c=8 d=8.51681e-24 t=82043
guan jiang tao tong 	灌浆套筒	c=1 d=1 t=63170
guan jiao 	管教	c=1 d=3.63514e-37 t=82043
guan ju 	鳏居	c=1 d=2.92383e-34 t=82043
guan ka 	管卡	c=1 d=1 t=51651
guan lang 	管廊	c=4 d=3.8735 t=76006
guan le 	关了	c=1 d=1.79249e-13 t=82043
guan li 	管理	c=26 d=0.0057417 t=82043
guan li qi 	管理器	c=1 d=0.011109 t=82043
guan li xian 	管理线	c=3 d=2.75674 t=72978
guan li yuan 	管理员	c=6 d=0.000102055 t=82043
guan mu 	灌木	c=1 d=1 t=73183
guan nian 	观念	c=1 d=1 t=49313
guan qie 	关切	c=1 d=5.03474e-16 t=82043
guan tong 	贯通	c=2 d=6.07598e-40 t=82043
guan wang 	官网	c=6 d=0.0147723 t=82043
guan wang 	管网	c=1 d=1 t=71513
guan wang 	观望	c=3 d=1.85155e-12 t=82043
guan wang na ge 	观望那个	c=1 d=5.24199e-20 t=82043
guan xi 	关系	c=6 d=0.718924 t=82043
guan xian 	管线	c=12 d=0.000107287 t=82043
guan xin 	关心	c=3 d=1.30317e-27 t=82043
guan yang 	管养	c=7 d=5.17291e-11 t=82043
guan yu 	关于	c=35 d=0.501814 t=82043
guan zhi 	管制	c=1 d=1 t=65948
guan zhong 	关中	c=1 d=5.20238e-19 t=82043
guan zhu 	关注	c=6 d=3.50963e-06 t=82043
guan zhu 	灌注	c=28 d=1.0027 t=82043
guan zhu zhuang 	灌注桩	c=1 d=0.275271 t=82043
guan zi 	管子	c=13 d=2.92732e-13 t=82043
guan zu 	管足	c=1 d=5.46318e-65 t=82043
guang 	光	c=5 d=0.810584 t=82043
guang 	广	c=5 d=1.19844e-12 t=82043
guang 	逛	c=2 d=1.38112e-34 t=82043
guang biao 	光标	c=3 d=1.09516 t=82043
guang chang 	广场	c=3 d=8.81718e-20 t=82043
guang chang wu 	广场舞	c=1 d=1.32399e-37 t=82043
guang dong 	广东	c=2 d=6.62275e-06 t=82043
guang fan 	广泛	c=2 d=1 t=73486
guang gao 	广告	c=2 d=5.68944e-93 t=82043
guang guang 	逛逛	c=1 d=1.2719e-06 t=82043
guang hua 	光滑	c=1 d=2.41418e-16 t=82043
guang kuo 	广阔	c=1 d=7.16313e-17 t=82043
guang lu 	光路	c=1 d=1.80608e-43 t=82043
guang qian 	光纤	c=1 d=1 t=45535
guang xian 	光纤	c=2 d=4.3559e-18 t=82043
guang yi 	广义	c=4 d=3.50355e-15 t=82043
guang yu 	广域	c=2 d=6.43358e-18 t=82043
guang zhao 	光照	c=1 d=1 t=60221
guang zhou 	广州	c=3 d=0.000247277 t=82043
guang zhou lu 	广州路	c=1 d=2.53004e-38 t=82043
gui 	归	c=7 d=0.900325 t=82043
gui 	柜	c=1 d=7.05625e-46 t=82043
gui 	桂	c=2 d=0.379083 t=82043
gui 	贵	c=15 d=0.650509 t=82043
gui 	鬼	c=8 d=6.7904e-06 t=82043
gui cheng 	规程	c=2 d=1.02319e-05 t=82043
gui dang 	归档	c=15 d=1.39504e-05 t=82043
gui dang na ge 	归档那个	c=1 d=1 t=75654
gui dao 	轨道	c=9 d=1.22803e-13 t=82043
gui de 	贵的	c=2 d=1 t=74530
gui ding 	规定	c=16 d=3.30524e-06 t=82043
gui fa 	归法	c=1 d=4.67015e-14 t=82043
gui fan 	规范	c=145 d=1.02352 t=82043
gui fan na 	规范那	c=2 d=4.10712e-32 t=82043
gui fei 	贵妃	c=1 d=5.6493e-18 t=82043
gui fu 	贵妇	c=1 d=2.61278e-93 t=82043
gui ge 	规格	c=3 d=1.19141e-31 t=82043
gui gu 	鬼谷	c=1 d=1.09303 t=82043
gui gu ba huang 	鬼谷八荒	c=1 d=0.985112 t=82043
gui hua 	规划	c=118 d=1.27901e-05 t=82043
gui hua ju 	规划局	c=1 d=2.65984e-09 t=82043
gui hua yuan 	规划院	c=1 d=4.78512e-06 t=82043
gui ji 	轨迹	c=1 d=4.34318e-13 t=82043
gui ju 	规矩	c=1 d=0.236928 t=82043
gui lei 	归类	c=1 d=4.27301e-86 t=82043
gui lin 	桂林	c=2 d=1.5154e-12 t=82043
gui lv 	规律	c=4 d=2.12983e-25 t=82043
gui mie 	鬼灭	c=6 d=1.02537 t=68949
gui mie zhi ren 	鬼灭之刃	c=1 d=0.463013 t=82043
gui mo 	规模	c=37 d=1.61699e-07 t=82043
gui suan yan 	硅酸盐	c=1 d=1 t=71381
gui tai 	柜台	c=1 d=4.52427e-23 t=82043
gui ze 	规则	c=2 d=1.30405e-35 t=82043
gui zhong 	贵重	c=1 d=5.06084e-18 t=82043
gun 	棍	c=1 d=2.16301e-47 t=82043
gun lun 	滚轮	c=1 d=1 t=58454
gun xia qu 	滚下去	c=1 d=1.31738e-37 t=82043
guo 	国	c=2 d=2.7005e-11 t=82043
guo 	过	c=45 d=0.00755912 t=82043
guo 	郭	c=20 d=3.46811e-08 t=82043
guo biao 	郭彪	c=2 d=5.15325e-25 t=82043
guo bu 	过不	c=0 d=1.39192e-09 t=82043
guo bu liao 	过不聊	c=2 d=1.39889e-08 t=82043
guo bu qu 	过不去	c=1 d=1.16263e-08 t=82043
guo chan 	国产	c=1 d=3.36331e-05 t=82043
guo cheng 	过程	c=25 d=0.0678809 t=82043
guo da 	过大	c=9 d=0.0420036 t=82043
guo de 	过得	c=3 d=3.55347e-05 t=82043
guo du 	过度	c=1 d=0.436049 t=82043
guo du 	过渡	c=5 d=0.438235 t=82043
guo du duan 	过渡段	c=1 d=1.03077e-33 t=82043
guo duo 	过多	c=2 d=3.53143e-20 t=82043
guo fen 	过分	c=1 d=3.42472e-12 t=82043
guo guan 	过关	c=1 d=8.13486e-43 t=82043
guo he 	过河	c=1 d=1 t=46976
guo ji 	国籍	c=1 d=1.78349e-42 t=82043
guo ji 	国际	c=9 d=0.000498727 t=82043
guo ji ban ben 	国际版本	c=4 d=1.68107e-06 t=82043
guo jia 	国家	c=18 d=2.14081e-13 t=82043
guo jie 	过节	c=1 d=1 t=80127
guo jie 	过街	c=2 d=1.96079 t=79046
guo lai 	过来	c=22 d=7.1921e-07 t=82043
guo lian 	国联	c=1 d=2.59232e-30 t=82043
guo lu 	过路	c=1 d=1.62357e-25 t=82043
guo lv 	过滤	c=1 d=0.00017956 t=82043
guo lv qi 	过滤器	c=2 d=1.1562e-31 t=82043
guo nei 	国内	c=11 d=0.0142373 t=82043
guo nian 	过年	c=1 d=1.34702e-34 t=82043
guo qi 	国企	c=3 d=7.84998e-06 t=82043
guo qi 	国旗	c=3 d=2.95566 t=55748
guo qi 	过期	c=2 d=7.88932e-06 t=82043
guo qing 	国庆	c=3 d=2.39009e-45 t=82043
guo qu 	过去	c=5 d=0.000596417 t=82043
guo ran 	果然	c=5 d=3.5162e-28 t=82043
guo ri zi 	过日子	c=1 d=1.80142e-42 t=82043
guo shui 	国税	c=1 d=1.92535e-60 t=82043
guo shui 	过水	c=11 d=9.23976e-11 t=82043
guo wai 	国外	c=2 d=1 t=60962
guo wu yuan 	国务院	c=2 d=4.43579e-33 t=82043
ha 	哈	c=2 d=9.84745e-26 t=82043
ha dong e 	哈东阿	c=1 d=4.09151e-46 t=82043
ha er bin 	哈尔滨	c=1 d=3.02334e-16 t=82043
ha ha 	哈哈	c=9 d=0.283654 t=82043
ha ha a 	哈哈啊	c=1 d=3.0253e-53 t=82043
ha ha ha 	哈哈哈	c=38 d=0.541197 t=82043
ha ha ha a 	哈哈哈啊	c=1 d=9.30907e-41 t=82043
ha ha ha a he 	哈哈哈啊和	c=4 d=1 t=78265
ha ha ha ha 	哈哈哈哈	c=31 d=0.00027565 t=82043
ha ha ha ha an han 	哈哈哈哈暗涵	c=1 d=1 t=59992
ha ha ha ha ha 	哈哈哈哈哈	c=8 d=8.77918e-28 t=82043
ha si hu 	哈似乎	c=1 d=4.82945e-85 t=82043
hai 	嗨	c=1 d=3.61578e-33 t=82043
hai 	海	c=13 d=0.123687 t=82043
hai 	还	c=38 d=0.18058 t=82043
hai bu cuo 	还不错	c=1 d=2.86008e-10 t=82043
hai bu neng 	还不能	c=1 d=6.4124e-38 t=82043
hai bu ru 	还不如	c=1 d=1 t=80567
hai bu shi 	还不是	c=1 d=1 t=66683
hai bu zhi dao 	还不知道	c=1 d=7.21498e-43 t=82043
hai ceng 	还曾	c=0 d=1.20568e-25 t=82043
hai cun zai 	还存在	c=1 d=1 t=54221
hai de 	还得	c=2 d=1 t=53025
hai dei 	还得	c=14 d=0.0155297 t=82043
hai dian 	海淀	c=2 d=4.25811e-38 t=82043
hai dou shi 	还都是	c=1 d=1 t=60053
hai dui 	还对	c=1 d=0.00621991 t=82043
hai duo 	还多	c=1 d=8.60213e-53 t=82043
hai gang 	海港	c=1 d=1 t=66163
hai hao 	还好	c=11 d=0.000131041 t=82043
hai hui 	还会	c=2 d=2.97579e-06 t=82043
hai hui si 	海慧寺	c=1 d=4.66176e-81 t=82043
hai ke yi 	还可以	c=3 d=0.000281796 t=82043
hai lang 	海浪	c=1 d=1 t=75310
hai liang 	海量	c=2 d=1.17437e-13 t=82043
hai mei 	还没	c=6 d=0.00513033 t=82043
hai mei yo 	还没哟	c=1 d=0.0515605 t=82043
hai mei you 	还没有	c=17 d=0.00406639 t=82043
hai men 	海门	c=10 d=2.90795 t=75378
hai men shi 	海门市	c=1 d=1 t=71451
hai nan 	海南	c=3 d=1 t=72731
hai neng 	还能	c=9 d=0.18452 t=82043
hai pa 	害怕	c=1 d=2.12097e-22 t=82043
hai shi 	还是	c=116 d=0.212721 t=82043
hai shi hen 	还是很	c=1 d=2.01197e-19 t=82043
hai shi wo 	还是我	c=1 d=6.83607e-26 t=82043
hai shuo 	还说	c=1 d=7.30037e-05 t=82043
hai te 	海特	c=2 d=1.7788 t=59710
hai wai 	海外	c=3 d=2.12125e-44 t=82043
hai wei 	还未	c=1 d=6.02748e-45 t=82043
hai wen 	还问	c=0 d=0.1 t=66650
hai wen zi 	还问子	c=1 d=1 t=66651
hai xiang 	还想	c=2 d=1 t=60803
hai xing 	还行	c=1 d=4.25645e-11 t=82043
hai xu yao 	还需要	c=5 d=1.73951e-13 t=82043
hai yang 	海洋	c=1 d=1 t=72242
hai yao 	还要	c=5 d=0.0115047 t=82043
hai yi wei 	还以为	c=2 d=2.08215e-40 t=82043
hai yong 	还用	c=1 d=1 t=57246
hai you 	还有	c=45 d=0.724959 t=82043
hai you ke neng 	还有可能	c=1 d=3.23253e-09 t=82043
hai you kong 	还有孔	c=1 d=1 t=79667
hai you xie 	还有些	c=1 d=1.83026e-23 t=82043
hai zai 	还在	c=12 d=5.40841e-05 t=82043
hai zi 	孩子	c=2 d=0.00690852 t=82043
han 	含	c=5 d=6.72513e-10 t=82043
han 	寒	c=3 d=9.37445e-16 t=82043
han 	晗	c=1 d=1 t=61260
han 	汉	c=16 d=3.69445e-07 t=82043
han 	汗	c=0 d=2.23389e-45 t=82043
han 	涵	c=42 d=1.00616 t=80586
han 	焊	c=6 d=0.621885 t=82043
han 	韩	c=1 d=4.25052e-24 t=82043
han dao 	喊道	c=0 d=2.90303e-98 t=82043
han dao xing 	喊道行	c=1 d=2.91758e-97 t=82043
han ding 	焊钉	c=1 d=5.59291e-47 t=82043
han dong 	涵洞	c=145 d=0.0158596 t=82043
han feng 	焊缝	c=12 d=1.80548 t=82043
han gai 	涵盖	c=1 d=2.33155e-18 t=82043
han guo 	韩国	c=2 d=0.0958472 t=82043
han han 	鼾鼾	c=1 d=1.32859e-19 t=82043
han jian 	函件	c=2 d=1.99005 t=58610
han jie 	焊接	c=20 d=1.981e-05 t=82043
han ju 	韩剧	c=1 d=9.24689e-21 t=82043
han liang 	含量	c=2 d=1 t=71297
han nei 	涵内	c=2 d=4.87664e-23 t=82043
han qu 	寒区	c=1 d=7.45419e-15 t=82043
han shu 	函数	c=30 d=0.00419023 t=82043
han shu han ju 	函数韩剧	c=1 d=1.26203e-32 t=82043
han tai 	汉台	c=1 d=1 t=58951
han wei 	捍卫	c=1 d=5.34936e-82 t=82043
han yi 	含义	c=1 d=1 t=53348
han zhan 	寒战	c=1 d=1.53773e-33 t=82043
han zi 	汉字	c=2 d=1.00032 t=55510
han zu 	汉族	c=0 d=4.93252e-11 t=82043
hang 	杭	c=7 d=1.52923e-09 t=82043
hang 	航	c=1 d=1.80473e-93 t=82043
hang 	行	c=32 d=0.0209352 t=82043
hang ban 	航班	c=2 d=1.25156e-72 t=82043
hang dao 	航道	c=14 d=2.41295e-10 t=82043
hang dao qiao 	航道桥	c=1 d=1.25314e-37 t=82043
hang diao 	行掉	c=1 d=1.21945e-40 t=82043
hang hai 	航海	c=1 d=3.03116e-17 t=82043
hang jia 	桁架	c=15 d=1 t=79832
hang kong 	航空	c=2 d=1.97531 t=80309
hang lie 	行列	c=0 d=0.0582748 t=82043
hang lie hao 	行列号	c=1 d=0.585669 t=82043
hang pai 	航拍	c=5 d=1 t=78051
hang qiao 	行桥	c=1 d=1 t=68205
hang tian qi 	航天器	c=1 d=1 t=47959
hang ye 	行业	c=5 d=5.18682e-12 t=82043
hang zhan 	航站	c=2 d=2.47266e-36 t=82043
hang zhou 	杭州	c=1 d=2.51699e-36 t=82043
hao 	号	c=132 d=0.225373 t=82043
hao 	好	c=86 d=1.34035 t=82043
hao 	昊	c=1 d=1 t=46446
hao 	浩	c=1 d=2.4183e-36 t=82043
hao 	豪	c=15 d=0.000733045 t=82043
hao a 	好啊	c=0 d=0.1 t=56931
hao a hou 	好啊后	c=1 d=1 t=56932
hao ba 	好吧	c=23 d=0.839457 t=82043
hao bu 	毫不	c=1 d=1 t=44694
hao bu hao 	好不好	c=1 d=1 t=60796
hao bu hao yong 	好不好用	c=1 d=1.92744e-14 t=82043
hao can 	好惨	c=0 d=7.87834e-20 t=82043
hao chi 	好吃	c=8 d=0.00449405 t=82043
hao chu 	好处	c=2 d=0.367879 t=82043
hao da 	好大	c=1 d=1.35742e-95 t=82043
hao de 	好的	c=130 d=0.907592 t=82043
hao dian 	好点	c=1 d=1 t=47405
hao dian 	耗电	c=1 d=1.22261e-41 t=82043
hao duo 	好多	c=3 d=0.000992781 t=82043
hao e 	好饿	c=1 d=4.83881e-49 t=82043
hao gui 	好贵	c=2 d=3.6365e-12 t=82043
hao hao 	好好	c=19 d=0.0672055 t=82043
hao jiu 	好久	c=2 d=1.03862e-34 t=82043
hao ka 	好卡	c=1 d=1 t=59751
hao kan 	好看	c=6 d=7.24644e-06 t=82043
hao kan dian 	好看点	c=1 d=1 t=48374
hao ke pa 	好可怕	c=1 d=5.0966e-42 t=82043
hao kun 	好困	c=1 d=7.46919e-68 t=82043
hao le 	好了	c=7 d=5.38887e-12 t=82043
hao lei 	好累	c=1 d=1.95245e-48 t=82043
hao ma 	号码	c=3 d=0.000235217 t=82043
hao mi 	毫米	c=3 d=3.10098e-47 t=82043
hao nan 	好难	c=1 d=1 t=60045
hao ping 	好评	c=0 d=3.17879e-48 t=82043
hao ping ba 	好评把	c=1 d=3.19472e-47 t=82043
hao qi 	好奇	c=1 d=1.96631e-43 t=82043
hao re 	好热	c=1 d=1.95684e-45 t=82043
hao shi 	好事	c=1 d=8.75772e-58 t=82043
hao shi 	耗时	c=10 d=3.75457e-26 t=82043
hao si 	好似	c=0 d=1.60049e-34 t=82043
hao tong 	好痛	c=1 d=1.61828e-16 t=82043
hao xiang 	好像	c=19 d=0.0947287 t=82043
hao xiang 	好想	c=12 d=3.28892e-26 t=82043
hao ye neng gou 	号也能够	c=1 d=9.10612e-17 t=82043
hao yong 	好用	c=3 d=4.36198e-05 t=82043
hao yuan 	好远	c=1 d=1 t=60905
hao zhao li 	号召力	c=1 d=1 t=80135
hao zhu yi 	好主意	c=1 d=1.39885e-37 t=82043
he 	何	c=1 d=1 t=53383
he 	合	c=10 d=0.0648985 t=82043
he 	和	c=362 d=2.01886 t=82043
he 	喝	c=2 d=1.07538e-90 t=82043
he 	核	c=1 d=1 t=67651
he 	河	c=195 d=0.687158 t=82043
he 	盒	c=1 d=5.50513e-08 t=82043
he 	鹤	c=2 d=3.88476e-43 t=82043
he bei 	喝杯	c=1 d=1 t=47396
he bi 	合璧	c=1 d=1 t=75342
he bing 	合并	c=19 d=2.8228e-23 t=82043
he bu he shi 	合不合适	c=1 d=1.85754e-50 t=82043
he cai 	合彩	c=3 d=1.99005 t=62355
he cha 	核查	c=9 d=2.56279 t=82043
he chuan 	合川	c=1 d=5.8623e-71 t=82043
he chuang 	河床	c=10 d=1.01057e-06 t=82043
he dao 	喝到	c=1 d=2.28321e-95 t=82043
he dao 	河道	c=266 d=0.0520451 t=82043
he dao xian 	河道线	c=1 d=1.37966e-51 t=82043
he di 	河堤	c=2 d=8.46473e-60 t=82043
he di 	河底	c=1 d=1 t=70057
he dui 	核对	c=1 d=5.3683e-06 t=82043
he fei 	合肥	c=58 d=0.0172495 t=82043
he fei lu 	合肥路	c=8 d=0.00434568 t=82043
he feng 	和风	c=1 d=1 t=44696
he fu 	和服	c=1 d=2.6047e-86 t=82043
he ge 	合格	c=2 d=4.84062e-24 t=82043
he gou 	河沟	c=5 d=1.98511 t=78226
he hai 	河海	c=1 d=1 t=58162
he han si 	和汉斯	c=1 d=8.02083e-24 t=82043
he he 	喝喝	c=1 d=1.50007e-07 t=82043
he he ka fei 	喝喝咖啡	c=1 d=1.50759e-06 t=82043
he ji 	合计	c=6 d=0.0158434 t=82043
he jie 	和解	c=1 d=1 t=45924
he jiu 	喝酒	c=1 d=1.72562e-95 t=82043
he kou 	河口	c=14 d=1.65928e-20 t=82043
he li 	合理	c=15 d=0.0461896 t=82043
he li hua 	合理化	c=1 d=0.00848038 t=82043
he li xing 	合理性	c=3 d=5.27831e-13 t=82043
he liu 	河流	c=8 d=7.72287e-20 t=82043
he long 	合龙	c=3 d=3.11966e-32 t=82043
he se 	褐色	c=1 d=1 t=73958
he shi 	合适	c=10 d=0.000710181 t=82043
he shi 	核实	c=22 d=1.40982 t=82043
he shui 	喝水	c=1 d=1.40686e-16 t=82043
he suan 	合算	c=2 d=1 t=79584
he suan 	核算	c=4 d=0.0117959 t=82043
he suan 	核酸	c=2 d=0.0118551 t=82043
he tong 	合同	c=3 d=5.07913e-09 t=82043
he wai 	核外	c=1 d=1 t=53974
he xie 	和谐	c=2 d=1 t=73381
he xin 	核心	c=3 d=5.99293e-28 t=82043
he yun shi 	何韵诗	c=1 d=1 t=72189
he zai 	何在	c=1 d=0.543351 t=82043
he zai 	荷载	c=146 d=0.768218 t=82043
he ze 	荷泽	c=1 d=1 t=62412
he ze 	菏泽	c=39 d=1.66048 t=82043
he zi 	合资	c=0 d=1.15761e-17 t=82043
he zi 	盒子	c=1 d=5.34243e-08 t=82043
he zi a 	合资啊	c=2 d=5.33015e-14 t=82043
he zong xin 	河棕心	c=1 d=4.60909e-65 t=82043
he zu 	合租	c=1 d=1 t=67719
he zui jiu 	喝醉酒	c=1 d=3.5651e-14 t=82043
he zuo 	合作	c=1 d=9.81168e-42 t=82043
hei 	嘿	c=1 d=5.01987e-40 t=82043
hei 	黑	c=6 d=1.24926e-31 t=82043
hei an 	黑暗	c=1 d=1 t=68946
hei bai 	黑白	c=2 d=1.52637e-34 t=82043
hei cha 	黑茶	c=1 d=1.92201e-69 t=82043
hei li shi 	黑历史	c=1 d=1.35589e-23 t=82043
hei ping guo 	黑苹果	c=1 d=1 t=64850
hei se 	黑色	c=1 d=2.79137e-18 t=82043
hei ti 	黑体	c=9 d=0.0116786 t=82043
hei yu 	黑鱼	c=1 d=1.23641e-26 t=82043
hen 	很	c=32 d=0.0460939 t=82043
hen bu cuo 	很不错	c=1 d=4.35428e-43 t=82043
