# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
da suan 	打算	c=1 d=1.22498e-05 t=11833
da ting 	大廳	c=1 d=0.353455 t=11833
da ting 	打聽	c=2 d=0.532592 t=11833
da wan 	打完	c=2 d=0.0793661 t=11833
da xiao 	大小	c=2 d=0.310367 t=11833
da xuan 	大選	c=0 d=0.0571209 t=11833
da xuan bi 	大選幣	c=2 d=0.574072 t=11833
da xue 	大學	c=2 d=0.0175975 t=11833
da yang 	大樣	c=1 d=1 t=11821
da yin 	打印	c=3 d=0.767244 t=11833
da you xi 	打遊戲	c=2 d=1.17191e-16 t=11833
da yue 	大約	c=1 d=9.63604e-06 t=11833
da yun 	大運	c=1 d=7.49028e-13 t=11833
da za 	打雜	c=1 d=0.000122182 t=11833
da zhong wu 	大中午	c=1 d=0.802519 t=11833
dai 	呆	c=3 d=0.757225 t=11833
dai 	帶	c=7 d=2.16567 t=11833
dai 	待	c=4 d=0.000165544 t=11833
dai 	貸	c=2 d=0.00124951 t=11833
dai biao 	代表	c=4 d=1.51571e-08 t=11833
dai dai 	帶帶	c=1 d=0.031117 t=11833
dai ding 	待定	c=1 d=1 t=11416
dai kuan 	貸款	c=3 d=0.00514819 t=11833
dai li 	代理	c=5 d=0.75499 t=11833
dai ma 	代碼	c=2 d=8.21338e-12 t=11833
dai ni 	帶你	c=1 d=0.0278757 t=11833
dai ti 	代替	c=1 d=2.08258e-13 t=11833
dai you 	帶有	c=2 d=0.0207726 t=11833
dan 	單	c=6 d=1.59705 t=11833
dan chun 	單純	c=1 d=2.05618e-10 t=11833
dan le 	淡了	c=1 d=0.190139 t=11833
dan pai 	單排	c=1 d=0.000720907 t=11833
dan shen 	單身	c=1 d=2.24944e-08 t=11833
dan sheng 	誕生	c=1 d=8.01674e-18 t=11833
dan shi 	但是	c=8 d=1.56033 t=11833
dan wei 	單位	c=19 d=2.04826 t=11833
dan xian cheng 	單線程	c=1 d=0.66365 t=11833
dan xiang 	單向	c=1 d=8.19707e-15 t=11833
dan xiang 	單項	c=1 d=1 t=9457
dan xin 	擔心	c=1 d=0.794534 t=11833
dang 	擋	c=1 d=0.701173 t=11833
dang 	當	c=3 d=0.102808 t=11833
dang bing 	當兵	c=2 d=1.79169 t=11833
dang chu 	當初	c=4 d=0.00675738 t=11833
dang di 	當地	c=4 d=1.86383e-15 t=11833
dang qian 	當前	c=6 d=0.576418 t=11833
dang qiang 	擋牆	c=1 d=1 t=11177
dang shi 	當時	c=2 d=0.0186604 t=11833
dang tu qiang 	擋土牆	c=10 d=0.566176 t=11833
dang zuo 	當作	c=1 d=2.24325e-05 t=11833
dao 	倒	c=3 d=0.0578443 t=11833
dao 	到	c=32 d=0.950213 t=11833
dao 	導	c=1 d=1.56639e-15 t=11833
dao 	島	c=2 d=1.96536 t=11833
dao 	搗	c=1 d=1.95996e-05 t=11833
dao 	道	c=8 d=0.204756 t=11833
dao chu 	導出	c=1 d=1 t=9177
dao de 	道德	c=1 d=0.169483 t=11833
dao hang 	導航	c=1 d=1.07045 t=11189
dao jia 	到家	c=1 d=0.00546167 t=11833
dao lai 	到來	c=1 d=0.704688 t=11833
dao lu 	道路	c=8 d=0.26831 t=11833
dao ru 	導入	c=2 d=0.203926 t=11833
dao shi 	倒是	c=1 d=6.72513e-10 t=11833
dao shi hou 	到時候	c=7 d=0.353455 t=11833
dao shi hou jian 	到時候見	c=1 d=0.0308074 t=11833
dao tou 	到頭	c=1 d=0.0765355 t=11833
dao tu 	倒吐	c=1 d=0.119433 t=11833
dao wei 	到位	c=1 d=3.28139e-09 t=11833
dao xian zai 	到現在	c=1 d=6.88343e-19 t=11833
dao ye 	倒也	c=1 d=0.00404611 t=11833
dao zhi 	導致	c=3 d=0.298197 t=11833
de 	德	c=0 d=0.1 t=11189
de 	的	c=754 d=15.091 t=11833
de a 	的啊	c=1 d=1.62081e-05 t=11833
de chu 	得出	c=1 d=2.60265e-18 t=11833
de fen 	得分	c=1 d=9.85447e-05 t=11833
de shi 	的事	c=1 d=1.18979e-15 t=11833
de zhou 	德州	c=4 d=3.54609e-18 t=11833
dei 	得	c=9 d=0.650509 t=11833
deng 	燈	c=1 d=1 t=10966
deng 	等	c=23 d=1.41263 t=11833
deng dai 	等待	c=4 d=0.371614 t=11833
deng deng 	等等	c=1 d=1 t=10842
deng gan 	燈杆	c=2 d=1.04036 t=11328
deng gao 	登高	c=1 d=1 t=8836
deng ji 	登記	c=1 d=0.292293 t=11833
deng lu 	登錄	c=2 d=0.280054 t=11833
deng ni 	等你	c=1 d=0.116484 t=11833
deng yi hou 	等以後	c=1 d=6.16012e-07 t=11833
deng yu 	等於	c=1 d=0.946485 t=11833
deng zhe 	等着	c=2 d=1.11453e-11 t=11833
di 	低	c=1 d=2.17207e-08 t=11833
di 	地	c=3 d=0.518386 t=11833
di 	底	c=4 d=0.449982 t=11833
di 	迪	c=1 d=8.00856e-06 t=11833
di ao 	迪奧	c=2 d=0.919375 t=11833
di ban 	地板	c=2 d=3.46344e-16 t=11833
di ban 	底板	c=2 d=7.89187e-16 t=11833
di bu 	底部	c=1 d=2.08187e-09 t=11833
di ceng 	底層	c=1 d=8.94739e-16 t=11833
di da 	抵達	c=1 d=0.955997 t=11833
di di 	滴滴	c=2 d=1.8825 t=9224
di er 	第二	c=0 d=0.00809449 t=11833
di er ci 	第二次	c=2 d=1.68753e-09 t=11833
di er ji 	第二季	c=4 d=0.496382 t=11833
di er nian 	第二年	c=2 d=0.000112226 t=11833
di er zhen 	第二針	c=1 d=0.0325493 t=11833
di er zheng 	第二證	c=1 d=0.0488012 t=11833
di fang 	地方	c=8 d=0.12853 t=11833
di fang 	提防	c=1 d=0.018968 t=11833
di fu 	地伏	c=4 d=0.248063 t=11833
di guo 	帝國	c=1 d=4.22501e-12 t=11833
di ji 	低級	c=1 d=1.91782e-14 t=11833
di ji 	地基	c=2 d=5.80884e-14 t=11833
di jia 	迪迦	c=2 d=0.960789 t=11833
di jiu shi 	第九十	c=1 d=5.35899e-15 t=11833
di mian 	地面	c=9 d=0.152083 t=11833
di mian xian 	地面線	c=1 d=1.72696e-16 t=11833
di ping xian 	地平線	c=2 d=3.66356e-11 t=11833
di qu 	地區	c=2 d=0.00129402 t=11833
di san 	第三	c=1 d=0.00882647 t=11833
di san fang 	第三方	c=1 d=1 t=10006
di san ji 	第三季	c=1 d=0.0685632 t=11833
di si 	第四	c=1 d=7.77848e-16 t=11833
di tie 	地鐵	c=1 d=1.55081e-15 t=11833
di tu 	地圖	c=1 d=0.0145524 t=11833
di wang 	地王	c=1 d=0.00329615 t=11833
di wei 	地位	c=1 d=1 t=11252
di yi 	第一	c=0 d=0.00437178 t=11833
di yi ci 	第一次	c=2 d=0.0402216 t=11833
di yi ji 	第一季	c=1 d=0.111359 t=11833
di yi jie 	第一屆	c=1 d=2.61347e-08 t=11833
di yi yan 	第一眼	c=1 d=1 t=11024
di yi zhen 	第一針	c=1 d=0.0439369 t=11833
di zhi 	地址	c=10 d=0.673997 t=11833
dian 	墊	c=4 d=0.914903 t=11833
dian 	點	c=13 d=0.941783 t=11833
dian ao 	點拗	c=1 d=0.0185924 t=11833
dian chi 	電池	c=6 d=0.598963 t=11833
dian ci 	點此	c=1 d=0.0773047 t=11833
dian hua 	電話	c=3 d=0.0294162 t=11833
dian ji 	惦記	c=2 d=0.000112226 t=11833
dian ji 	點擊	c=2 d=0.000193545 t=11833
dian kuai 	墊塊	c=1 d=1.81834e-05 t=11833
dian li 	電力	c=2 d=1.97045 t=11169
dian nao 	電腦	c=8 d=0.507535 t=11833
dian pu 	店鋪	c=1 d=1 t=11268
dian pu he 	澱浦河	c=1 d=3.58358e-16 t=11833
dian shi 	電視	c=1 d=0.0197421 t=11833
dian shi ji 	電視機	c=1 d=2.62069e-11 t=11833
dian shi ju 	電視劇	c=2 d=0.677077 t=11833
dian ying 	電影	c=2 d=0.0675424 t=11833
dian yuan 	電源	c=1 d=0.0167392 t=11833
dian zi 	電子	c=1 d=1 t=11185
diao 	吊	c=1 d=1.15982e-09 t=11833
diao 	掉	c=1 d=0.718924 t=11833
diao diao 	叼叼	c=1 d=4.83815e-18 t=11833
diao huan 	吊環	c=1 d=9.0327e-10 t=11833
diao tong 	吊桶	c=1 d=8.1086e-05 t=11833
diao tou fa 	掉頭髮	c=1 d=0.00302755 t=11833
diao yong 	調用	c=6 d=0.0190687 t=11833
diao yu 	釣魚	c=1 d=0.0204453 t=11833
diao zhuang 	吊裝	c=1 d=1 t=8981
diao zuan 	刁鑽	c=1 d=1 t=9947
die dai 	迭代	c=2 d=0.00478462 t=11833
die dai qi 	迭代起	c=1 d=0.000160054 t=11833
die jia 	疊加	c=1 d=8.48904e-15 t=11833
ding 	丁	c=1 d=9.05608e-11 t=11833
ding 	定	c=1 d=0.000649051 t=11833
ding 	頂	c=14 d=1.66425 t=11833
ding ban 	頂板	c=2 d=2.24893e-13 t=11833
ding bu 	頂部	c=1 d=0.0939493 t=11833
ding dan 	訂單	c=1 d=1.9657e-10 t=11833
ding mian 	頂面	c=2 d=0.156181 t=11833
ding yi 	定義	c=3 d=0.00918669 t=11833
ding zhi 	定製	c=8 d=4.12579 t=11833
diu 	丟	c=1 d=9.54991e-18 t=11833
dong 	懂	c=2 d=1.86407e-14 t=11833
dong 	東	c=4 d=0.965605 t=11833
dong 	棟	c=1 d=1 t=11355
dong ce 	東側	c=1 d=0.106459 t=11833
dong ci 	動詞	c=0 d=0.099005 t=11833
dong li 	動力	c=1 d=1 t=10599
dong lu 	東路	c=5 d=0.000138462 t=11833
dong man 	動漫	c=5 d=1.08977 t=11833
dong qian 	動遷	c=0 d=0.000382958 t=11833
dong qian zu 	動遷組	c=1 d=0.00384878 t=11833
dong tai 	動態	c=1 d=1.02715e-12 t=11833
dong tai kuai 	動態塊	c=1 d=9.42727e-13 t=11833
dong tian 	冬天	c=1 d=4.16069e-08 t=11833
dong xi 	東西	c=5 d=0.53612 t=11833
dong yuan 	動員	c=1 d=1.29112e-06 t=11833
dou 	都	c=28 d=1.55213 t=11833
dou 	鬥	c=1 d=6.71005e-13 t=11833
dou ban 	豆瓣	c=1 d=0.279431 t=11833
dou dei 	都得	c=3 d=0.0675755 t=11833
dou mei yo 	都沒喲	c=1 d=0.562705 t=11833
dou men 	斗門	c=4 d=0.874963 t=11833
dou po 	鬥破	c=3 d=0.0976471 t=11833
dou shi 	都是	c=12 d=0.339596 t=11833
dou yin 	抖音	c=2 d=0.657047 t=11833
dou you 	都有	c=2 d=0.941765 t=11833
dou yu 	鬥魚	c=2 d=1.14123e-11 t=11833
du 	度	c=5 d=0.937067 t=11833
du 	杜	c=1 d=3.80388e-12 t=11833
du 	都	c=1 d=8.90276e-16 t=11833
du cu 	督促	c=1 d=2.98553e-15 t=11833
du ge 	杜哥	c=5 d=0.000529982 t=11833
du qu 	讀取	c=4 d=0.00665774 t=11833
du se 	堵塞	c=3 d=1.58153 t=11833
du xin 	鍍鋅	c=2 d=1.85642 t=11828
duan 	斷	c=1 d=3.71122e-16 t=11833
duan 	段	c=14 d=2.20854 t=11833
duan 	端	c=5 d=1.17782 t=11833
duan kai 	斷開	c=1 d=0.321422 t=11833
duan kou 	端口	c=9 d=1.17277 t=11833
duan mai 	斷買	c=1 d=5.99659e-14 t=11833
duan mian 	斷面	c=6 d=0.637628 t=11833
duan wang 	斷網	c=1 d=0.474734 t=11833
duan zheng 	端正	c=1 d=1.18999e-17 t=11833
dui 	對	c=23 d=0.928393 t=11833
dui 	隊	c=1 d=0.11475 t=11833
dui a 	對啊	c=2 d=0.298621 t=11833
dui bi 	對比	c=1 d=5.27472e-05 t=11833
dui fang 	對方	c=4 d=0.767244 t=11833
dui hua 	對話	c=1 d=3.17889e-18 t=11833
dui jie 	對接	c=1 d=4.31183e-16 t=11833
dui li 	對立	c=1 d=1.47543e-17 t=11833
dui lie 	隊列	c=7 d=0.000201322 t=11833
dui mian 	對面	c=1 d=0.0780817 t=11833
dui qi 	對其	c=1 d=4.23666e-15 t=11833
dui qi 	對齊	c=4 d=0.0566989 t=11833
dui wai 	對外	c=3 d=0.444858 t=11833
dui wu 	隊伍	c=1 d=7.15703e-07 t=11833
dui xiang 	對象	c=6 d=0.603186 t=11833
dui ying 	對應	c=4 d=0.651095 t=11833
dun 	墩	c=5 d=1.71667 t=11833
dun tai 	墩臺	c=2 d=4.41476e-15 t=11833
dun zhu 	頓住	c=1 d=2.58703e-06 t=11833
duo 	多	c=13 d=1.25633 t=11833
duo ceng 	多層	c=1 d=4.27633e-07 t=11833
duo dai 	多呆	c=1 d=0.0672055 t=11833
duo ge 	多個	c=1 d=2.17695e-05 t=11833
duo hang 	多行	c=1 d=0.0510474 t=11833
duo jiu 	多久	c=3 d=0.0867313 t=11833
duo kan 	多看	c=1 d=1.42837e-18 t=11833
duo me 	多麼	c=1 d=3.40938e-18 t=11833
duo ren wu 	多任務	c=9 d=0.19674 t=11833
duo shao 	多少	c=15 d=0.951258 t=11833
duo shao a 	多少啊	c=1 d=0.000930303 t=11833
duo shao qian 	多少錢	c=1 d=2.07649e-08 t=11833
duo tai 	墮胎	c=1 d=0.429557 t=11833
duo wen jian 	多文件	c=1 d=3.83219e-11 t=11833
duo yi dian 	多一點	c=1 d=0.275271 t=11833
duo zhong 	多種	c=1 d=0.0105145 t=11833
e 	額	c=20 d=0.951229 t=11833
e du 	額度	c=2 d=0.00873865 t=11833
e e 	哦哦	c=1 d=1 t=8816
e en 	額恩	c=1 d=7.46713e-06 t=11833
e ken yin 	顎齦音	c=1 d=1 t=10150
e sha 	扼殺	c=1 d=0.287941 t=11833
ei 	誒	c=11 d=0.993651 t=11833
ei xin 	誒新	c=1 d=8.74757e-15 t=11833
en 	恩	c=13 d=1.55843 t=11833
en en 	嗯嗯	c=38 d=1.61262 t=11833
en ne 	恩呢	c=1 d=0.00408677 t=11833
er 	二	c=9 d=2.94352 t=11833
er 	而	c=1 d=0.00329615 t=11833
er cun 	二村	c=1 d=1 t=11354
er ji 	二級	c=1 d=2.41418e-16 t=11833
er ji 	耳機	c=1 d=0.202909 t=11833
er jin zhi 	二進制	c=1 d=6.19416e-13 t=11833
er lou 	二樓	c=1 d=2.00644e-16 t=11833
er ni na ge 	而你那個	c=1 d=1.90728e-08 t=11833
er qi 	二期	c=5 d=4.48892 t=9470
er qie 	而且	c=3 d=0.660367 t=11833
er shi 	二十	c=2 d=1.35575e-10 t=11833
er shi 	而是	c=2 d=0.0124258 t=11833
er shi da 	二十大	c=3 d=2.72708e-10 t=11833
er yan 	而言	c=1 d=0.271173 t=11833
er zhou 	二周	c=0 d=4.97008e-12 t=11833
er zhou mu 	二周母	c=1 d=4.99499e-11 t=11833
fa 	法	c=6 d=0.431741 t=11833
fa 	發	c=4 d=1 t=11833
fa cuo 	發錯	c=1 d=8.29664e-10 t=11833
fa fa 	發發	c=0 d=0.0882497 t=11833
fa gei 	發給	c=2 d=1.90032 t=11468
fa gong zi 	發工資	c=1 d=1 t=10286
fa guo 	法國	c=1 d=6.98508e-15 t=11833
fa le 	發了	c=1 d=0.951229 t=11833
fa piao 	發票	c=12 d=0.394418 t=11833
fa re 	發熱	c=1 d=1 t=9140
fa sheng 	發生	c=2 d=4.52276e-07 t=11833
fa song 	發送	c=11 d=3.59446 t=11833
fa wo 	發我	c=2 d=0.0293049 t=11833
fa xian 	發現	c=3 d=0.00618889 t=11833
fa zhan 	發展	c=6 d=0.945445 t=11833
fan 	凡	c=1 d=0.900325 t=11833
fan 	煩	c=1 d=0.45612 t=11833
fan 	飯	c=1 d=0.0591555 t=11833
fan chuan 	翻船	c=1 d=0.165299 t=11833
fan de sa 	范德薩	c=0 d=1.57045e-17 t=11833
fan fu 	反覆	c=1 d=0.160414 t=11833
fan gan nan 	凡甘南	c=1 d=1 t=8894
fan hao 	番號	c=1 d=0.19205 t=11833
fan hui 	返回	c=3 d=0.811418 t=11833
fan kui 	反饋	c=2 d=0.00565622 t=11833
fan kuo 	飯擴	c=1 d=2.84679e-14 t=11833
fan li 	反力	c=2 d=0.000108366 t=11833
fan li 	範例	c=1 d=0.000107287 t=11833
fan lian 	翻臉	c=1 d=0.366045 t=11833
fan nao 	煩惱	c=1 d=0.22313 t=11833
fan qiang 	翻牆	c=1 d=5.5222e-15 t=11833
fan ren 	凡人	c=2 d=7.83371e-11 t=11833
fan wai 	番外	c=1 d=0.0889216 t=11833
fan wei 	範圍	c=3 d=0.000483239 t=11833
fan xian 	范縣	c=1 d=4.34392e-15 t=11833
fan yi 	翻譯	c=1 d=0.0178634 t=11833
fan ying 	反應	c=2 d=0.149569 t=11833
fan ying 	反映	c=1 d=9.38344e-17 t=11833
fan zhe ge 	飯這個	c=1 d=0.594521 t=11833
fan zheng 	反正	c=2 d=0.601271 t=11833
fang 	房	c=2 d=0.0176551 t=11833
fang 	放	c=2 d=0.0169146 t=11833
fang 	方	c=9 d=0.328048 t=11833
fang 	防	c=3 d=0.135954 t=11833
fang an 	方案	c=10 d=0.0674138 t=11833
fang bian 	方便	c=7 d=0.725729 t=11833
fang dai 	房貸	c=1 d=1 t=10485
fang dao 	放到	c=1 d=6.32144e-17 t=11833
fang dong 	房東	c=1 d=0.00373503 t=11833
fang fa 	方法	c=2 d=0.671131 t=11833
fang fang 	放放	c=2 d=0.0329028 t=11833
fang fu 	防腐	c=1 d=2.85319e-11 t=11833
fang hu lan 	防護欄	c=2 d=1.05335e-15 t=11833
fang huo 	防火	c=1 d=1 t=8703
fang jia 	房價	c=2 d=0.0746645 t=11833
fang jia 	放假	c=1 d=0.07502 t=11833
fang jian 	房間	c=2 d=1.42194 t=11833
fang ke 	方可	c=1 d=3.39827e-09 t=11833
fang li 	房裏	c=1 d=0.0361528 t=11833
fang man 	放慢	c=1 d=0.000207579 t=11833
fang men 	房門	c=1 d=0.722527 t=11833
fang mian 	方面	c=5 d=0.00628242 t=11833
fang mian de 	方面的	c=1 d=0.000202454 t=11833
fang shi 	方式	c=5 d=1.439 t=11833
fang shui 	防水	c=2 d=0.657047 t=11833
fang wen 	訪問	c=1 d=8.03749e-19 t=11833
fang xiang 	方向	c=1 d=0.000252273 t=11833
fang xiao 	仿效	c=1 d=1.06843e-14 t=11833
fang xin 	放心	c=1 d=0.000480828 t=11833
fang yang 	放樣	c=1 d=9.49905e-14 t=11833
fang zai 	放在	c=2 d=0.0710054 t=11833
fang zhi 	放置	c=1 d=2.12393e-09 t=11833
fang zhi 	防止	c=2 d=2.367e-09 t=11833
fang zi 	房子	c=4 d=0.00772231 t=11833
fang zu 	房租	c=1 d=0.00366107 t=11833
fei 	非	c=13 d=1.57397 t=11833
fei 	飛	c=1 d=1.18878e-05 t=11833
fei chang 	非常	c=2 d=0.0156076 t=11833
fei che 	飛車	c=1 d=7.15947e-11 t=11833
fei du se 	非堵塞	c=2 d=1.43182 t=11833
fei fei 	飛飛	c=3 d=6.45353e-16 t=11833
fei hui 	飛回	c=1 d=0.158817 t=11833
fei ji 	飛機	c=1 d=1 t=9568
fei ye 	扉頁	c=1 d=1 t=11648
fei yong 	費用	c=2 d=7.16329e-05 t=11833
fen 	分	c=2 d=0.108609 t=11833
fen 	粉	c=5 d=0.799253 t=11833
fen bie 	分別	c=2 d=1.96079 t=11528
fen ceng 	分層	c=1 d=1.98033e-09 t=11833
fen dan 	分擔	c=1 d=1 t=10566
fen e 	份額	c=1 d=0.00138785 t=11833
fen fu 	吩咐	c=1 d=0.0784731 t=11833
fen ge 	分隔	c=1 d=1.94249e-15 t=11833
fen ge dai 	分隔帶	c=1 d=1.1345e-14 t=11833
fen lei 	分類	c=1 d=2.58035e-05 t=11833
fen li 	分離	c=1 d=0.000808767 t=11833
fen qi 	分歧	c=1 d=0.188247 t=11833
fen qu 	分區	c=1 d=0.22313 t=11833
fen shu 	分數	c=1 d=0.261846 t=11833
fen tu 	粉土	c=1 d=0.308819 t=11833
fen xi 	分析	c=2 d=0.597501 t=11833
fen xiang 	分享	c=3 d=0.207142 t=11833
fen zhi 	分支	c=3 d=0.00101877 t=11833
fen zhong 	分鐘	c=1 d=0.0184074 t=11833
feng 	峰	c=3 d=0.0843457 t=11833
feng 	縫	c=2 d=0.179051 t=11833
feng 	豐	c=1 d=6.36415e-08 t=11833
feng dong 	灃東	c=8 d=0.000707512 t=11833
feng mian 	封面	c=1 d=0.254107 t=11833
feng shan 	風扇	c=4 d=0.196895 t=11833
feng shen bang 	封神榜	c=2 d=1.35751 t=11833
feng xian 	風險	c=1 d=1 t=10308
feng zhi 	峯值	c=1 d=3.02334e-16 t=11833
fo 	佛	c=1 d=0.516851 t=11833
fu 	富	c=2 d=8.90532e-09 t=11833
fu 	幅	c=5 d=1.00021 t=11174
fu 	福	c=1 d=4.34244e-11 t=11833
fu 	腐	c=1 d=0.582748 t=11833
fu 	覆	c=3 d=2.28914e-06 t=11833
fu 	附	c=2 d=1.98511 t=11661
fu ban 	腹板	c=3 d=1.7189e-06 t=11833
fu dai 	附帶	c=1 d=0.00798652 t=11833
fu dian shu 	浮點數	c=1 d=2.52926e-05 t=11833
fu hao 	符號	c=4 d=2.83517 t=11833
fu hao gao 	符號高	c=1 d=0.941765 t=11833
fu he 	符合	c=2 d=0.0728218 t=11833
fu jia 	附加	c=3 d=0.0464177 t=11833
fu jin 	附近	c=1 d=2.17318e-14 t=11833
fu mian 	負面	c=1 d=1.45722e-18 t=11833
fu qian 	付錢	c=1 d=1 t=9888
fu shang 	附上	c=1 d=1 t=9233
fu she 	敷設	c=2 d=1.93239 t=10086
fu shi 	腐蝕	c=2 d=1.625 t=9602
fu shi 	複式	c=1 d=3.76475e-08 t=11833
fu shu 	附屬	c=2 d=0.574072 t=11833
fu tu 	附圖	c=1 d=1 t=11645
fu wu 	服務	c=2 d=0.386741 t=11833
fu wu duan 	服務端	c=1 d=0.609571 t=11833
fu wu qi 	服務器	c=3 d=0.68263 t=11833
fu xi 	複習	c=1 d=0.0161635 t=11833
fu yu 	賦予	c=3 d=4.99381e-17 t=11833
fu ze 	負責	c=1 d=5.17203e-09 t=11833
fu ze ren 	負責人	c=1 d=0.00107547 t=11833
fu zhi 	複製	c=6 d=2.81363 t=11833
fu zhou 	福州	c=3 d=3.70565e-14 t=11833
fu zhou lu 	福州路	c=1 d=1.20465e-14 t=11833
fu zhu 	輔助	c=1 d=2.24906e-06 t=11833
fu zong 	副總	c=1 d=0.000376347 t=11833
gai 	改	c=9 d=0.66595 t=11833
gai 	蓋	c=1 d=2.35826e-05 t=11833
gai bian 	改變	c=3 d=2.62338e-11 t=11833
gai cheng 	改成	c=1 d=1.29826e-12 t=11833
gai dong 	改動	c=2 d=0.0800583 t=11833
gai kuang 	概況	c=1 d=0.272532 t=11833
gai le 	改了	c=1 d=1.06054e-15 t=11833
gai lian 	蓋臉	c=1 d=0.00362464 t=11833
gai liang 	改良	c=4 d=1.26905 t=11833
gai liang 	蓋樑	c=15 d=2.49865 t=11833
gai shu 	概述	c=1 d=0.26982 t=11833
gai suan 	概算	c=6 d=0.0306678 t=11833
gai wei 	改爲	c=1 d=0.315058 t=11833
gai zao 	改造	c=1 d=0.559898 t=11833
gai zhao 	改朝	c=1 d=0.557106 t=11833
gai zi 	蓋子	c=1 d=1 t=11500
gan 	幹	c=4 d=0.304266 t=11833
gan 	趕	c=1 d=1 t=10336
gan ga 	尷尬	c=1 d=0.474734 t=11833
gan jian 	杆件	c=2 d=0.000245105 t=11833
gan jin 	幹勁	c=1 d=1 t=10317
gan jue 	感覺	c=12 d=1.69439 t=11833
gan ma 	幹嘛	c=4 d=0.427415 t=11833
gan nan 	甘南	c=0 d=0.1 t=8893
gan qing 	感情	c=3 d=0.189193 t=11833
gan wu 	感悟	c=1 d=1.07379e-14 t=11833
gan xie 	感謝	c=3 d=0.817626 t=11833
gang 	剛	c=1 d=0.0263839 t=11833
gang 	港	c=1 d=1.51618e-14 t=11833
gang 	鋼	c=15 d=0.172193 t=11833
gang ban 	鋼板	c=6 d=2.65508 t=11833
gang cai 	剛纔	c=2 d=4.29276e-14 t=11833
gang ci 	剛賜	c=0 d=4.24691e-15 t=11833
gang ci a 	剛賜啊	c=1 d=4.2682e-14 t=11833
gang du 	剛度	c=1 d=0.00375375 t=11833
gang gou jian 	剛構建	c=1 d=5.27562e-07 t=11833
gang guan 	鋼管	c=3 d=1.24379 t=11833
gang jie gou 	鋼結構	c=5 d=0.0327838 t=11833
gang jin 	鋼筋	c=18 d=5.36858 t=11833
gang liang 	鋼樑	c=4 d=1.38489e-11 t=11833
gang shu 	剛書	c=1 d=3.29952e-15 t=11833
gang shu 	鋼束	c=1 d=3.31606e-15 t=11833
gang tie 	鋼鐵	c=0 d=5.33119e-06 t=11833
gang tie xia 	鋼鐵下	c=1 d=2.67226e-05 t=11833
gang tie xia 	鋼鐵俠	c=1 d=2.68566e-05 t=11833
gao 	搞	c=2 d=0.145228 t=11833
gao 	高	c=16 d=1.12454 t=11833
gao cha 	高差	c=1 d=0.0731678 t=11833
gao cheng 	搞成	c=1 d=7.284e-08 t=11833
gao cheng 	高程	c=4 d=0.000206616 t=11833
gao de dao hang 	高德導航	c=1 d=1 t=11190
gao di 	高低	c=4 d=2.52781e-12 t=11833
gao dian 	高點	c=1 d=0.190139 t=11833
gao du 	高度	c=5 d=2.81229 t=11833
gao duan 	高端	c=2 d=0.00860854 t=11833
gao jia 	高架	c=11 d=0.169483 t=11833
gao qing 	高清	c=1 d=0.00173804 t=11833
gao su 	高速	c=1 d=1.25382e-14 t=11833
gao zhong 	高中	c=1 d=6.93466e-18 t=11833
ge 	個	c=12 d=1.01945 t=11833
ge 	各	c=6 d=0.360595 t=11833
ge 	哥	c=16 d=1.15175 t=11833
ge 	格	c=6 d=2.60944 t=9523
ge 	歌	c=1 d=0.161218 t=11833
ge 	隔	c=1 d=5.87885e-16 t=11833
ge ban 	隔板	c=2 d=3.23852e-16 t=11833
ge ge 	各個	c=1 d=0.000488095 t=11833
ge gong kuang 	各工況	c=1 d=0.000140543 t=11833
ge lin 	格林	c=1 d=3.96869e-11 t=11833
ge ren 	個人	c=1 d=1.45321e-15 t=11833
ge shan 	格柵	c=3 d=2.3078 t=11569
ge shi 	格式	c=3 d=0.418952 t=11833
ge zhong 	各種	c=2 d=0.0174939 t=11833
gei 	給	c=13 d=1.30661 t=11833
gei chu 	給出	c=5 d=0.205844 t=11833
gei ge 	給個	c=1 d=1.74853e-15 t=11833
gei ni 	給你	c=4 d=0.860708 t=11833
gei wo 	給我	c=2 d=0.0944202 t=11833
gen 	根	c=2 d=0.000237581 t=11833
gen 	跟	c=20 d=1.47562 t=11833
gen ben 	根本	c=2 d=0.927743 t=11833
gen ju 	根據	c=2 d=0.000164106 t=11833
gen ni 	跟你	c=3 d=2.85861e-07 t=11833
gen ni men 	跟你們	c=1 d=0.0254765 t=11833
gen nin 	跟您	c=0 d=0.0025223 t=11833
gen nin men 	跟您們	c=1 d=0.0253494 t=11833
gen ta 	跟她	c=1 d=0.172907 t=11833
gen wo 	跟我	c=1 d=0.173774 t=11833
geng 	更	c=3 d=0.275312 t=11833
geng fang bian 	更方便	c=1 d=1 t=9429
geng hao 	更好	c=1 d=3.24255e-16 t=11833
geng huan 	更換	c=1 d=1 t=11295
geng xin 	更新	c=13 d=0.53866 t=11833
geng xing 	更姓	c=1 d=5.3952e-06 t=11833
gong 	供	c=1 d=0.71177 t=11833
gong 	公	c=1 d=8.61001e-05 t=11833
gong 	共	c=2 d=0.026875 t=11833
gong 	工	c=33 d=0.668887 t=11833
gong 	龔	c=4 d=0.410656 t=11833
gong chang 	工廠	c=1 d=1.39286e-16 t=11833
